Адр;Знчн;IP;CR;AR;DR;SP;BR;AC;PS;NZVC;Адр;Знчн
461;0200;461;0000;000;0000;000;0000;0000;004;0100;;
461;0200;462;0200;461;0200;000;0461;0000;004;0100;;
462;EE17;463;EE17;47A;0000;000;0017;0000;004;0100;47A;0000
463;AE15;464;AE15;479;1234;000;0015;1234;000;0000;;
464;0740;465;0740;464;0740;000;0464;1233;001;0001;;
465;0C00;466;0C00;7FF;1233;7FF;0465;1233;001;0001;7FF;1233
466;D689;689;D689;7FE;0467;7FE;D689;1233;001;0001;7FE;0467
689;AC01;68A;AC01;7FF;1233;7FE;0001;1233;001;0001;;
68A;F303;68E;F303;68A;F303;7FE;0003;1233;001;0001;;
68E;4C01;68F;4C01;7FF;1233;7FE;0001;2466;000;0000;;
68F;4C01;690;4C01;7FF;1233;7FE;0001;3699;000;0000;;
690;4C01;691;4C01;7FF;1233;7FE;0001;48CC;000;0000;;
691;4E05;692;4E05;697;FFFF;7FE;0005;48CB;001;0001;;
692;CE01;694;CE01;692;0694;7FE;0001;48CB;001;0001;;
694;EC01;695;EC01;7FF;48CB;7FE;0001;48CB;001;0001;7FF;48CB
695;0A00;467;0A00;7FE;0467;7FF;0695;48CB;001;0001;;
467;0800;468;0800;7FF;48CB;000;0467;48CB;001;0001;;
468;6E11;469;6E11;47A;0000;000;0011;48CB;001;0001;;
469;EE10;46A;EE10;47A;48CB;000;0010;48CB;001;0001;47A;48CB
46A;AE0D;46B;AE0D;478;DEAD;000;000D;DEAD;009;1001;;
46B;0C00;46C;0C00;7FF;DEAD;7FF;046B;DEAD;009;1001;7FF;DEAD
46C;D689;689;D689;7FE;046D;7FE;D689;DEAD;009;1001;7FE;046D
689;AC01;68A;AC01;7FF;DEAD;7FE;0001;DEAD;009;1001;;
68A;F303;68B;F303;68A;F303;7FE;068A;DEAD;009;1001;;
68B;7E0A;68C;7E0A;696;0100;7FE;000A;DEAD;009;1001;;
68C;F201;68E;F201;68C;F201;7FE;0001;DEAD;009;1001;;
68E;4C01;68F;4C01;7FF;DEAD;7FE;0001;BD5A;009;1001;;
68F;4C01;690;4C01;7FF;DEAD;7FE;0001;9C07;009;1001;;
690;4C01;691;4C01;7FF;DEAD;7FE;0001;7AB4;003;0011;;
691;4E05;692;4E05;697;FFFF;7FE;0005;7AB3;001;0001;;
692;CE01;694;CE01;692;0694;7FE;0001;7AB3;001;0001;;
694;EC01;695;EC01;7FF;7AB3;7FE;0001;7AB3;001;0001;7FF;7AB3
695;0A00;46D;0A00;7FE;046D;7FF;0695;7AB3;001;0001;;
46D;0800;46E;0800;7FF;7AB3;000;046D;7AB3;001;0001;;
46E;6E0B;46F;6E0B;47A;48CB;000;000B;31E8;001;0001;;
46F;EE0A;470;EE0A;47A;31E8;000;000A;31E8;001;0001;47A;31E8
470;AE06;471;AE06;477;0BBB;000;0006;0BBB;001;0001;;
471;0C00;472;0C00;7FF;0BBB;7FF;0471;0BBB;001;0001;7FF;0BBB
472;D689;689;D689;7FE;0473;7FE;D689;0BBB;001;0001;7FE;0473
689;AC01;68A;AC01;7FF;0BBB;7FE;0001;0BBB;001;0001;;
68A;F303;68E;F303;68A;F303;7FE;0003;0BBB;001;0001;;
68E;4C01;68F;4C01;7FF;0BBB;7FE;0001;1776;000;0000;;
68F;4C01;690;4C01;7FF;0BBB;7FE;0001;2331;000;0000;;
690;4C01;691;4C01;7FF;0BBB;7FE;0001;2EEC;000;0000;;
691;4E05;692;4E05;697;FFFF;7FE;0005;2EEB;001;0001;;
692;CE01;694;CE01;692;0694;7FE;0001;2EEB;001;0001;;
694;EC01;695;EC01;7FF;2EEB;7FE;0001;2EEB;001;0001;7FF;2EEB
695;0A00;473;0A00;7FE;0473;7FF;0695;2EEB;001;0001;;
473;0800;474;0800;7FF;2EEB;000;0473;2EEB;001;0001;;
474;6E05;475;6E05;47A;31E8;000;0005;FD03;008;1000;;
475;EE04;476;EE04;47A;FD03;000;0004;FD03;008;1000;47A;FD03
476;0100;477;0100;476;0100;000;0476;FD03;008;1000;;
